0, 40
1, 21
2, 23
3, 39
4, 33
5, 22
6, 22
7, 25
8, 23
9, 44
10, 30
11, 39
12, 32
13, 37
14, 30
15, 34
16, 34
17, 34
18, 48
19, 31
20, 35
21, 29
22, 45
23, 38
24, 44
25, 34
26, 20
27, 49
28, 21
29, 22
30, 24
31, 39
32, 21
33, 37
34, 48
35, 47
0, 21
1, 48
2, 33
3, 44
4, 46
5, 42
6, 38
7, 35
8, 29
9, 24
10, 20
11, 21
12, 42
13, 47
14, 40
15, 21
16, 46
17, 48
18, 45
19, 40
20, 29
0, 22
1, 24
2, 37
3, 24
4, 37
5, 42
6, 25
7, 29
8, 37
9, 27
10, 47
11, 31
12, 22
13, 48
14, 41
15, 31
16, 23
17, 44
18, 36
19, 21
20, 28
21, 27
22, 25
23, 50
24, 37
25, 46
26, 24
27, 47
28, 47
29, 24
30, 32
31, 37
32, 41
33, 27
34, 30
35, 39
36, 30
37, 38
38, 40
39, 41
40, 35
41, 24
42, 27
43, 23
44, 39
45, 50
46, 31
47, 50
48, 29
49, 25
50, 36
51, 50
52, 49
53, 46
54, 34
55, 21
56, 32
57, 22
58, 28
59, 40
60, 29
61, 47
62, 36
63, 37
64, 41
65, 42
66, 49
67, 21
68, 35
69, 33
70, 23
71, 38
72, 26
73, 39
74, 46
75, 29
76, 47
77, 30
78, 24
79, 34
80, 24
81, 27
82, 43
83, 40
84, 32
85, 46
86, 46
87, 21
88, 40
89, 47
90, 40
91, 44
92, 45
93, 43
94, 49
95, 22
96, 48
97, 32
98, 23
99, 24
